sa2_2016,ra_2016
119021573,Major Cities of Australia
119021574,Major Cities of Australia
120031575,Major Cities of Australia
120031576,Major Cities of Australia
121021577,Major Cities of Australia
121021578,Major Cities of Australia
121021579,Major Cities of Australia
124051580,Major Cities of Australia
124051581,Major Cities of Australia
125011582,Major Cities of Australia
125011583,Major Cities of Australia
125011584,Major Cities of Australia
125011585,Major Cities of Australia
125011586,Major Cities of Australia
125011587,Major Cities of Australia
125041588,Major Cities of Australia
125041589,Major Cities of Australia
126021590,Major Cities of Australia
126021591,Major Cities of Australia
127011592,Inner Regional Australia
127011593,Major Cities of Australia
127011594,Major Cities of Australia
127011595,Major Cities of Australia
127011596,Major Cities of Australia
127011597,Major Cities of Australia
127031598,Major Cities of Australia
127031599,Major Cities of Australia
127031600,Major Cities of Australia
127031601,Major Cities of Australia
128011602,Major Cities of Australia
128011603,Major Cities of Australia
128011604,Major Cities of Australia
128011604,Inner Regional Australia
128011605,Major Cities of Australia
128011606,Major Cities of Australia
128021607,Major Cities of Australia
128021608,Major Cities of Australia
128021609,Major Cities of Australia
